"UniqueCarrier","Origin","DepHour","DayOfWeek","avg_delay","avg_delay_delayed","prop_over_15","nflights","ndests"
"AA","IAH",9,"Tue",9.625,37.3636363636364,0.21875,32,2
"AA","IAH",9,"Wed",5.85185185185185,14.5384615384615,0.148148148148148,27,1
"AA","IAH",9,"Thu",5.5625,19.1538461538462,0.125,32,1
"AA","IAH",9,"Fri",-0.0740740740740741,16.2,0.0740740740740741,27,1
"AA","IAH",9,"Sat",7.05263157894737,29.3333333333333,0.131578947368421,38,2
"AA","IAH",9,"Sun",-1.55172413793103,11.75,0.0344827586206897,29,1
"AA","IAH",10,"Mon",-1.21739130434783,10.4,0.0434782608695652,46,1
"AA","IAH",10,"Tue",1.89583333333333,13.4117647058824,0.0833333333333333,48,2
"AA","IAH",10,"Wed",1.15094339622642,17.5714285714286,0.0943396226415094,53,2
"AA","IAH",10,"Thu",3.44897959183673,15.5555555555556,0.0408163265306122,49,2
"AA","IAH",10,"Fri",1.84905660377358,13.9411764705882,0.0377358490566038,53,2
"AA","IAH",10,"Sat",-0.254901960784314,5,0,51,1
"AA","IAH",10,"Sun",0.307692307692308,9.16666666666667,0.0576923076923077,52,1
"AA","IAH",11,"Mon",12.25,27.0833333333333,0.125,24,2
"AA","IAH",11,"Tue",1.55555555555556,18.25,0.0740740740740741,27,2
"AA","IAH",11,"Wed",-2.07692307692308,4.8,0,26,1
"AA","IAH",11,"Thu",2.69230769230769,20.7142857142857,0.0769230769230769,26,2
"AA","IAH",11,"Fri",5.125,21,0.0416666666666667,24,1
"AA","IAH",11,"Sat",0.137931034482759,18.8333333333333,0.0344827586206897,29,2
"AA","IAH",11,"Sun",-0.777777777777778,6.14285714285714,0,27,1
"AA","IAH",12,"Mon",11.1428571428571,20,0.214285714285714,28,2
"AA","IAH",12,"Tue",20.5185185185185,33.9411764705882,0.333333333333333,27,1
"AA","IAH",12,"Wed",11.047619047619,21.1666666666667,0.285714285714286,21,1
"AA","IAH",12,"Thu",13.56,19.5,0.36,25,1
"AA","IAH",12,"Fri",14.3076923076923,24.8125,0.384615384615385,26,1
"AA","IAH",12,"Sat",7.30434782608696,19.6363636363636,0.260869565217391,23,1
"AA","IAH",12,"Sun",5.91666666666667,16.0909090909091,0.125,24,1
"AA","IAH",13,"Mon",25.2307692307692,60.1666666666667,0.307692307692308,13,2
"AA","IAH",13,"Tue",-3.23076923076923,4,0,13,2
"AA","IAH",13,"Wed",17.6,42.8571428571429,0.333333333333333,15,2
"AA","IAH",13,"Thu",12.1875,32.8571428571429,0.1875,16,2
"AA","IAH",13,"Fri",18.7857142857143,48,0.214285714285714,14,2
"AA","IAH",13,"Sat",3.64285714285714,31,0.142857142857143,14,2
"AA","IAH",13,"Sun",-2.85714285714286,14,0,14,2
"AA","IAH",14,"Mon",8,14.8888888888889,0.209302325581395,43,2
"AA","IAH",14,"Tue",5.19512195121951,12.3478260869565,0.146341463414634,41,1
"AA","IAH",14,"Wed",10.3829787234043,17.6129032258065,0.234042553191489,47,1
"AA","IAH",14,"Thu",4.8,10.6818181818182,0.15,40,1
"AA","IAH",14,"Fri",6.75675675675676,12.0833333333333,0.162162162162162,37,1
"AA","IAH",14,"Sat",3.04545454545455,10.5909090909091,0.0681818181818182,44,2
"AA","IAH",14,"Sun",4.60526315789474,11.6315789473684,0.157894736842105,38,1
"AA","IAH",15,"Mon",17.1538461538462,42.3333333333333,0.230769230769231,13,1
"AA","IAH",15,"Tue",12.3571428571429,34,0.214285714285714,14,1
"AA","IAH",15,"Wed",0,4,0,11,1
"AA","IAH",15,"Thu",19.2142857142857,34.25,0.357142857142857,14,1
"AA","IAH",15,"Fri",32.4375,37.5,0.4375,16,1
"AA","IAH",15,"Sat",-3.5,7,0,10,1
"AA","IAH",15,"Sun",18.4,27.8571428571429,0.3,10,1
"AA","IAH",16,"Mon",7.84375,16.6842105263158,0.1875,32,1
"AA","IAH",16,"Tue",3.60606060606061,10.9411764705882,0.121212121212121,33,1
"AA","IAH",16,"Wed",2.73076923076923,8.38461538461539,0.115384615384615,26,1
"AA","IAH",16,"Thu",12.6052631578947,21.5416666666667,0.210526315789474,38,1
"AA","IAH",16,"Fri",6.25641025641026,15.8421052631579,0.153846153846154,39,1
"AA","IAH",16,"Sat",7.23684210526316,21.1764705882353,0.131578947368421,38,1
"AA","IAH",16,"Sun",4.35897435897436,11.5789473684211,0.0769230769230769,39,1
"AA","IAH",17,"Mon",3.72727272727273,22,0.181818181818182,44,2
"AA","IAH",17,"Tue",4.93333333333333,28.2666666666667,0.155555555555556,45,2
"AA","IAH",17,"Wed",3.40384615384615,26,0.230769230769231,52,2
"AA","IAH",17,"Thu",20.6764705882353,67.6666666666667,0.117647058823529,34,2
"AA","IAH",17,"Fri",5.26470588235294,16.6,0.117647058823529,34,2
"AA","IAH",17,"Sat",12.75,65.7692307692308,0.104166666666667,48,2
"AA","IAH",17,"Sun",1.05128205128205,16.9166666666667,0.128205128205128,39,2
"AA","IAH",18,"Mon",25.1666666666667,34.4444444444444,0.583333333333333,12,1
"AA","IAH",18,"Tue",27.2727272727273,30.3,0.818181818181818,11,1
"AA","IAH",18,"Wed",34.4166666666667,42.2,0.5,12,2
"AA","IAH",18,"Thu",27.3125,31.6428571428571,0.625,16,2
"AA","IAH",18,"Fri",25.8666666666667,36.6363636363636,0.666666666666667,15,2
"AA","IAH",18,"Sat",26.8181818181818,38.625,0.545454545454545,11,2
"AA","IAH",18,"Sun",44.9333333333333,52,0.666666666666667,15,2
"AA","IAH",19,"Mon",6.90909090909091,69.25,0.136363636363636,22,2
"AA","IAH",19,"Tue",0.842105263157895,29.75,0.105263157894737,19,2
"AA","IAH",19,"Wed",13.45,31.7,0.2,20,2
"AA","IAH",19,"Thu",15.5714285714286,43.1666666666667,0.142857142857143,14,2
"AA","IAH",19,"Fri",12.9333333333333,35,0.2,15,2
"AA","IAH",19,"Sat",-7.33333333333333,NA,0,3,1
"AA","IAH",19,"Sun",1.8,55.5,0.0666666666666667,15,2
"AA","IAH",20,"Mon",11.3076923076923,26.8461538461538,0.230769230769231,26,2
"AA","IAH",20,"Tue",16.6,33.1428571428571,0.24,25,1
"AA","IAH",20,"Wed",5.25925925925926,16,0.185185185185185,27,1
"AA","IAH",20,"Thu",8.9,17.7058823529412,0.233333333333333,30,1
"AA","IAH",20,"Fri",22.0666666666667,33.1904761904762,0.366666666666667,30,2
"AA","IAH",20,"Sat",-0.75,1,0,4,1
"AA","IAH",20,"Sun",18.7916666666667,35.7857142857143,0.458333333333333,24,2
"AA","IAH",21,"Mon",64.5,64.5,1,2,1
"AA","IAH",21,"Tue",57.6666666666667,57.6666666666667,1,3,1
"AA","IAH",21,"Wed",77.5,77.5,1,2,1
"AA","IAH",21,"Thu",129.857142857143,129.857142857143,1,7,2
"AA","IAH",21,"Fri",99.5,99.5,1,6,2
"AA","IAH",21,"Sat",80,80,1,1,1
"AA","IAH",21,"Sun",63.6666666666667,63.6666666666667,1,3,1
"AA","IAH",22,"Thu",101,101,1,1,1
"AA","IAH",22,"Fri",124,124,1,1,1
"AA","IAH",22,"Sun",154,154,1,1,1
"AA","IAH",23,"Fri",234,234,1,1,1
"AA","IAH",23,"Sun",352,352,1,2,1
"AA","IAH",NA,"Mon",NA,NA,NA,10,2
"AA","IAH",NA,"Tue",NA,NA,NA,11,2
"AA","IAH",NA,"Wed",NA,NA,NA,10,2
"AA","IAH",NA,"Thu",NA,NA,NA,9,2
"AA","IAH",NA,"Fri",NA,NA,NA,8,2
"AA","IAH",NA,"Sat",NA,NA,NA,5,2
"AA","IAH",NA,"Sun",NA,NA,NA,5,2
"AS","IAH",18,"Mon",-1.78723404255319,8.36363636363636,0.0425531914893617,47,1
"AS","IAH",18,"Tue",-0.75,9.0625,0.0416666666666667,48,1
"AS","IAH",18,"Wed",-1.52272727272727,6.33333333333333,0,44,1
"AS","IAH",18,"Thu",-0.478260869565217,11,0.0434782608695652,46,1
"AS","IAH",18,"Fri",-2.60869565217391,7.8,0,46,1
"AS","IAH",18,"Sat",-2.69387755102041,9.6,0.0408163265306122,49,1
"AS","IAH",18,"Sun",-0.76,7.8125,0.04,50,1
"AS","IAH",19,"Mon",33.25,33.25,1,4,1
"AS","IAH",19,"Tue",57,57,1,4,1
"AS","IAH",19,"Wed",43.1428571428571,43.1428571428571,1,7,1
"AS","IAH",19,"Thu",35.1666666666667,35.1666666666667,1,6,1
"AS","IAH",19,"Fri",44.25,44.25,1,4,1
"AS","IAH",19,"Sat",46.25,46.25,1,4,1
"AS","IAH",19,"Sun",55.5,55.5,1,2,1
"AS","IAH",20,"Wed",138,138,1,1,1
"AS","IAH",20,"Fri",98.5,98.5,1,2,1
"AS","IAH",21,"Mon",172,172,1,1,1
"B6","HOU",6,"Mon",-3.2093023255814,4,0,43,1
"B6","HOU",6,"Tue",-3.63636363636364,7.75,0,44,1
"B6","HOU",6,"Wed",-5.02564102564103,1,0,39,1
"B6","HOU",6,"Thu",-4.71052631578947,1,0,38,1
"B6","HOU",6,"Fri",-4.68181818181818,1,0,44,1
"B6","HOU",6,"Sat",-2.88095238095238,5.875,0.0238095238095238,42,1
"B6","HOU",6,"Sun",-4.5625,7,0,32,1
"B6","HOU",7,"Mon",15,15,0.285714285714286,7,1
"B6","HOU",7,"Tue",9.25,13.6666666666667,0.25,4,1
"B6","HOU",7,"Wed",1.16666666666667,7,0,6,1
"B6","HOU",7,"Thu",8.6,8.6,0.2,5,1
"B6","HOU",7,"Fri",5.5,13.3333333333333,0.166666666666667,6,1
"B6","HOU",7,"Sat",9.42857142857143,13.2,0.285714285714286,7,1
"B6","HOU",7,"Sun",4.38461538461539,5.7,0.0769230769230769,13,1
"B6","HOU",8,"Wed",109,109,1,1,1
"B6","HOU",8,"Thu",106.5,106.5,1,2,1
"B6","HOU",8,"Fri",68,68,1,1,1
"B6","HOU",8,"Sat",92,92,1,2,1
"B6","HOU",8,"Sun",69,69,1,1,1
"B6","HOU",10,"Tue",251,251,1,1,1
"B6","HOU",10,"Thu",220,220,1,1,1
"B6","HOU",10,"Sat",256,256,1,1,1
"B6","HOU",11,"Sun",247,247,1,1,1
"B6","HOU",14,"Mon",-10,NA,0,3,1
"B6","HOU",14,"Tue",-8.8,NA,0,5,1
"B6","HOU",14,"Wed",-10,NA,0,2,1
"B6","HOU",14,"Thu",-9,NA,0,1,1
"B6","HOU",14,"Fri",-7,NA,0,3,1
"B6","HOU",14,"Sat",-7,NA,0,3,1
"B6","HOU",14,"Sun",-12,NA,0,2,1
"B6","HOU",15,"Mon",3.67567567567568,15.8666666666667,0.162162162162162,37,1
"B6","HOU",15,"Tue",6.3448275862069,15.25,0.241379310344828,29,1
"B6","HOU",15,"Wed",1.78787878787879,12.75,0.121212121212121,33,1
"B6","HOU",15,"Thu",2.37142857142857,15,0.114285714285714,35,1
"B6","HOU",15,"Fri",1.54545454545455,8.73333333333333,0.0909090909090909,33,1
"B6","HOU",15,"Sat",0.571428571428571,8.625,0.0952380952380952,21,1
"B6","HOU",15,"Sun",1.94117647058824,13.5833333333333,0.147058823529412,34,1
"B6","HOU",16,"Mon",45.6,45.6,0.6,5,1
"B6","HOU",16,"Tue",51.0714285714286,51.0714285714286,1,14,1
"B6","HOU",16,"Wed",53.3636363636364,53.3636363636364,0.818181818181818,11,1
"B6","HOU",16,"Thu",56.5714285714286,56.5714285714286,1,7,1
"B6","HOU",16,"Fri",51,51,0.818181818181818,11,1
"B6","HOU",16,"Sat",57.125,57.125,0.875,8,1
"B6","HOU",16,"Sun",38.7,38.7,1,10,1
"B6","HOU",17,"Mon",117.4,117.4,1,5,1
"B6","HOU",17,"Tue",125,125,1,1,1
"B6","HOU",17,"Wed",118.75,118.75,1,4,1
"B6","HOU",17,"Thu",115.5,115.5,1,4,1
"B6","HOU",17,"Fri",120.666666666667,120.666666666667,1,3,1
"B6","HOU",17,"Sat",106,106,1,1,1
"B6","HOU",17,"Sun",96,96,1,1,1
"B6","HOU",18,"Mon",136,136,1,1,1
"B6","HOU",18,"Fri",169,169,1,1,1
"B6","HOU",18,"Sun",189.666666666667,189.666666666667,1,3,1
"B6","HOU",19,"Tue",245,245,1,1,1
"B6","HOU",19,"Thu",243,243,1,1,1
"B6","HOU",19,"Fri",283,283,1,1,1
"B6","HOU",20,"Thu",278,278,1,1,1
"B6","HOU",20,"Sat",310,310,1,1,1
"B6","HOU",NA,"Mon",NA,NA,NA,3,1
"B6","HOU",NA,"Tue",NA,NA,NA,5,1
"B6","HOU",NA,"Wed",NA,NA,NA,2,1
"B6","HOU",NA,"Thu",NA,NA,NA,2,1
"B6","HOU",NA,"Fri",NA,NA,NA,1,1
"B6","HOU",NA,"Sat",NA,NA,NA,2,1
"B6","HOU",NA,"Sun",NA,NA,NA,3,1
"CO","IAH",0,"Mon",199,199,1,3,3
"CO","IAH",0,"Wed",191.5,191.5,1,6,5
"CO","IAH",0,"Thu",223.625,223.625,1,8,6
"CO","IAH",0,"Fri",17.0833333333333,17.0833333333333,0.166666666666667,24,2
"CO","IAH",0,"Sat",6.66666666666667,6.66666666666667,0.333333333333333,3,1
"CO","IAH",0,"Sun",162.333333333333,162.333333333333,1,3,3
"CO","IAH",1,"Mon",981,981,1,1,1
"CO","IAH",1,"Fri",274,274,1,1,1
"CO","IAH",1,"Sun",220,220,1,1,1
"CO","IAH",5,"Mon",-2.9,NA,0,50,3
"CO","IAH",5,"Tue",-3.54237288135593,NA,0,59,3
"CO","IAH",5,"Wed",-3.31666666666667,NA,0,60,3
"CO","IAH",5,"Thu",-3.46511627906977,NA,0,43,3
"CO","IAH",5,"Fri",-2.95744680851064,NA,0,47,3
"CO","IAH",5,"Sat",-3.71428571428571,NA,0,56,3
"CO","IAH",5,"Sun",-3.39024390243902,NA,0,41,2
"CO","IAH",6,"Mon",1.34117647058824,5.5,0.0352941176470588,85,5
"CO","IAH",6,"Tue",-0.4,4.91304347826087,0.0333333333333333,60,5
"CO","IAH",6,"Wed",-1.63793103448276,3.92307692307692,0,58,5
"CO","IAH",6,"Thu",16.5730337078652,37.2093023255814,0.0786516853932584,89,6
"CO","IAH",6,"Fri",0.561797752808989,4.15384615384615,0.0112359550561798,89,6
"CO","IAH",6,"Sat",8.29166666666667,11.3888888888889,0.166666666666667,24,4
"CO","IAH",6,"Sun",1.98387096774194,7.16129032258065,0.0806451612903226,62,4
"CO","IAH",7,"Mon",0.379511059371362,5.46984126984127,0.0209545983701979,859,24
"CO","IAH",7,"Tue",0.156553398058252,6.39097744360902,0.0351941747572816,824,28
"CO","IAH",7,"Wed",0.0403916768665851,5.20350877192982,0.018359853121175,817,25
"CO","IAH",7,"Thu",0.687123947051745,6.62080536912752,0.0276774969915764,831,26
"CO","IAH",7,"Fri",0.789343246592317,6.07920792079208,0.0322180916976456,807,26
"CO","IAH",7,"Sat",0.22207267833109,5.40977443609023,0.018842530282638,743,22
"CO","IAH",7,"Sun",-0.0849772382397572,5.18141592920354,0.0257966616084977,659,22
"CO","IAH",8,"Mon",5.06613756613757,12.6844919786096,0.111111111111111,378,29
"CO","IAH",8,"Tue",4.95833333333333,12.9620253164557,0.101190476190476,336,28
"CO","IAH",8,"Wed",4.14689265536723,12.7302631578947,0.104519774011299,354,28
"CO","IAH",8,"Thu",5.12371134020619,15.1520467836257,0.105670103092784,388,30
"CO","IAH",8,"Fri",4.38947368421053,11.4864864864865,0.0894736842105263,380,29
"CO","IAH",8,"Sat",4.62666666666667,13.9179104477612,0.116666666666667,300,26
"CO","IAH",8,"Sun",3.48823529411765,12.5942028985507,0.0676470588235294,340,27
"CO","IAH",9,"Mon",4.77893368010403,12.140625,0.110533159947984,769,31
"CO","IAH",9,"Tue",3.64923469387755,10.6898395721925,0.0994897959183673,784,29
"CO","IAH",9,"Wed",4.81643132220796,12.9442970822281,0.0898587933247754,779,31
"CO","IAH",9,"Thu",3.72450331125828,10.8623595505618,0.107284768211921,755,32
"CO","IAH",9,"Fri",3.71788079470199,10.142091152815,0.103311258278146,755,29
"CO","IAH",9,"Sat",4.09428571428571,9.76578947368421,0.118571428571429,700,30
"CO","IAH",9,"Sun",3.63081009296149,10.702479338843,0.0929614873837981,753,32
"CO","IAH",10,"Mon",4.66326530612245,11.746835443038,0.0994897959183673,784,37
"CO","IAH",10,"Tue",5.79504504504505,17.2211055276382,0.123873873873874,444,37
"CO","IAH",10,"Wed",3.08644859813084,14.6375,0.0934579439252336,428,34
"CO","IAH",10,"Thu",5.91404358353511,14.2839805825243,0.11501210653753,826,37
"CO","IAH",10,"Fri",4.09113300492611,10.3822115384615,0.0874384236453202,812,36
"CO","IAH",10,"Sat",3.72740315638451,10.6617647058824,0.078909612625538,697,32
"CO","IAH",10,"Sun",4.2774108322325,10.9532467532468,0.0990752972258917,757,33
"CO","IAH",11,"Mon",7.67205882352941,17.2606232294618,0.148529411764706,680,38
"CO","IAH",11,"Tue",5.47575757575758,16.1438356164384,0.127272727272727,330,32
"CO","IAH",11,"Wed",7.34883720930233,22.288,0.119601328903654,301,30
"CO","IAH",11,"Thu",9.15728715728716,18.790450928382,0.145743145743146,693,38
"CO","IAH",11,"Fri",7.90615835777126,15.6240409207161,0.127565982404692,682,36
"CO","IAH",11,"Sat",7.15894039735099,14.9166666666667,0.153973509933775,604,37
"CO","IAH",11,"Sun",6.27703703703704,14.1039325842697,0.131851851851852,675,38
"CO","IAH",12,"Mon",11.4710920770878,21.3406593406593,0.211991434689507,467,36
"CO","IAH",12,"Tue",5.67191601049869,15.2873563218391,0.118110236220472,381,31
"CO","IAH",12,"Wed",8.3421052631579,20.5222222222222,0.142105263157895,380,31
"CO","IAH",12,"Thu",15.0461847389558,27.1462585034014,0.246987951807229,498,34
"CO","IAH",12,"Fri",9.62923728813559,19.219696969697,0.216101694915254,472,34
"CO","IAH",12,"Sat",10.2054176072235,19.1769230769231,0.207674943566591,443,35
"CO","IAH",12,"Sun",9.20816326530612,17.3044982698962,0.187755102040816,490,34
"CO","IAH",13,"Mon",7.57535885167464,14.4847250509165,0.136363636363636,836,34
"CO","IAH",13,"Tue",5.64698795180723,11.5675675675676,0.134939759036145,830,30
"CO","IAH",13,"Wed",6.96205630354957,13.9423076923077,0.13219094247246,817,31
"CO","IAH",13,"Thu",9.92307692307692,17.426326129666,0.16971916971917,819,36
"CO","IAH",13,"Fri",7.56363636363636,14.0060120240481,0.16,825,32
"CO","IAH",13,"Sat",7.01243093922652,13.25,0.140883977900552,724,32
"CO","IAH",13,"Sun",7.52091767881242,13.5140388768898,0.16059379217274,741,33
"CO","IAH",14,"Mon",7.54002541296061,14.5349344978166,0.123252858958069,787,34
"CO","IAH",14,"Tue",6.22013422818792,12.2100456621005,0.115436241610738,745,32
"CO","IAH",14,"Wed",7.73650385604113,15.0706401766004,0.137532133676093,778,31
"CO","IAH",14,"Thu",11.1062416998672,18.1448979591837,0.176626826029216,753,38
"CO","IAH",14,"Fri",8.54244031830239,14.6128364389234,0.145888594164456,754,36
"CO","IAH",14,"Sat",9.72857142857143,15.4639830508475,0.194285714285714,700,38
"CO","IAH",14,"Sun",7.70424403183024,14.0521739130435,0.136604774535809,754,34
"CO","IAH",15,"Mon",8.39374185136897,18.0246913580247,0.146023468057366,767,31
"CO","IAH",15,"Tue",7.52589641434263,15.9779951100244,0.136786188579017,753,30
"CO","IAH",15,"Wed",7.83930942895086,17.6243523316062,0.122177954847278,753,32
"CO","IAH",15,"Thu",11.9246031746032,19.9814049586777,0.194444444444444,756,35
"CO","IAH",15,"Fri",9.11590296495957,16.8445945945946,0.152291105121294,742,36
"CO","IAH",15,"Sat",7.15594855305466,15.108504398827,0.136655948553055,622,34
"CO","IAH",15,"Sun",7.84550561797753,15.5390243902439,0.144662921348315,712,34
"CO","IAH",16,"Mon",16.4342431761787,25.3882783882784,0.310173697270471,403,27
"CO","IAH",16,"Tue",18.3829268292683,29.1217712177122,0.34390243902439,410,27
"CO","IAH",16,"Wed",14.4806763285024,22.6487455197133,0.314009661835749,414,28
"CO","IAH",16,"Thu",19.0698198198198,24.8628571428571,0.387387387387387,444,29
"CO","IAH",16,"Fri",17.1218390804598,23.2839879154079,0.354022988505747,435,28
"CO","IAH",16,"Sat",13.1278409090909,21.2370689655172,0.267045454545455,352,28
"CO","IAH",16,"Sun",16.6919431279621,24.4503311258278,0.31042654028436,422,28
"CO","IAH",17,"Mon",9.43032159264931,16.4632352941176,0.156202143950995,653,36
"CO","IAH",17,"Tue",7.34421364985163,13.7058823529412,0.099406528189911,674,34
"CO","IAH",17,"Wed",7.36938202247191,14.6707920792079,0.106741573033708,712,35
"CO","IAH",17,"Thu",12.6047619047619,18.6674157303371,0.171428571428571,630,35
"CO","IAH",17,"Fri",9.06125574272588,13.9845474613687,0.145482388973966,653,35
"CO","IAH",17,"Sat",7.49049429657795,13.3507692307692,0.102661596958175,526,33
"CO","IAH",17,"Sun",11.2169230769231,17.4230769230769,0.152307692307692,650,36
"CO","IAH",18,"Mon",11.9051094890511,18.1022964509395,0.246715328467153,685,42
"CO","IAH",18,"Tue",10.8323353293413,20.6030927835052,0.232035928143713,668,40
"CO","IAH",18,"Wed",10.0179910044978,19.0153846153846,0.214392803598201,667,40
"CO","IAH",18,"Thu",15.2783505154639,21.7806841046278,0.30780559646539,679,41
"CO","IAH",18,"Fri",12.1075110456554,18.885032537961,0.241531664212077,679,41
"CO","IAH",18,"Sat",11.3483333333333,16.8808411214953,0.23,600,39
"CO","IAH",18,"Sun",13.4251134644478,19.6970338983051,0.258698940998487,661,42
"CO","IAH",19,"Mon",12.8626570915619,18.837296620776,0.281867145421903,1114,42
"CO","IAH",19,"Tue",9.72861085556578,17.7658610271903,0.185832566697332,1087,40
"CO","IAH",19,"Wed",9.18224299065421,16.8389570552147,0.190654205607477,1070,41
"CO","IAH",19,"Thu",13.4288354898336,19.323155216285,0.279112754158965,1082,43
"CO","IAH",19,"Fri",13.359066427289,18.949938949939,0.246858168761221,1114,43
"CO","IAH",19,"Sat",9.41929133858268,15.8606060606061,0.226377952755905,1016,41
"CO","IAH",19,"Sun",12.6694444444444,18.2670886075949,0.243518518518519,1080,44
"CO","IAH",20,"Mon",24.5135135135135,40.7464114832536,0.312312312312312,333,43
"CO","IAH",20,"Tue",13.1968253968254,30.2483660130719,0.193650793650794,315,39
"CO","IAH",20,"Wed",17.5075528700906,37.6909090909091,0.223564954682779,331,39
"CO","IAH",20,"Thu",31.6253776435045,48.2702702702703,0.353474320241692,331,45
"CO","IAH",20,"Fri",30.0684931506849,46.850622406639,0.36986301369863,365,43
"CO","IAH",20,"Sat",14.3547169811321,29.7234042553191,0.222641509433962,265,38
"CO","IAH",20,"Sun",22.3505154639175,36.5,0.306701030927835,388,46
"CO","IAH",21,"Mon",10.7035040431267,16.2857142857143,0.222371967654987,742,36
"CO","IAH",21,"Tue",8.29618768328446,14.156462585034,0.178885630498534,682,28
"CO","IAH",21,"Wed",10.3583569405099,18.0738255033557,0.194050991501416,706,33
"CO","IAH",21,"Thu",18.1865482233503,26.013986013986,0.263959390862944,788,38
"CO","IAH",21,"Fri",11.3787878787879,16.8024691358025,0.22979797979798,792,30
"CO","IAH",21,"Sat",7.68118195956454,14.489847715736,0.188180404354588,643,29
"CO","IAH",21,"Sun",13.4233128834356,19.0597014925373,0.260122699386503,815,41
"CO","IAH",22,"Mon",74.4375,83.6744186046512,0.895833333333333,48,22
"CO","IAH",22,"Tue",67.8214285714286,73.5,0.892857142857143,28,13
"CO","IAH",22,"Wed",82.5192307692308,84.2156862745098,0.961538461538462,52,21
"CO","IAH",22,"Thu",112.755813953488,114.082352941176,0.941860465116279,86,31
"CO","IAH",22,"Fri",70.984375,81.875,0.875,64,24
"CO","IAH",22,"Sat",81.25,81.25,1,32,15
"CO","IAH",22,"Sun",74.6507936507936,95.18,0.746031746031746,63,22
"CO","IAH",23,"Mon",93.2,93.2,0.8,10,7
"CO","IAH",23,"Tue",106.666666666667,106.666666666667,0.888888888888889,9,8
"CO","IAH",23,"Wed",136.5,136.5,1,16,8
"CO","IAH",23,"Thu",155.6,155.6,1,25,18
"CO","IAH",23,"Fri",85.3888888888889,129.083333333333,0.611111111111111,18,10
"CO","IAH",23,"Sat",134.727272727273,148.3,0.909090909090909,11,8
"CO","IAH",23,"Sun",108.4,116.178571428571,0.833333333333333,30,15
"CO","IAH",NA,"Mon",NA,NA,NA,17,14
"CO","IAH",NA,"Tue",NA,NA,NA,59,14
"CO","IAH",NA,"Wed",NA,NA,NA,72,26
"CO","IAH",NA,"Thu",NA,NA,NA,94,41
"CO","IAH",NA,"Fri",NA,NA,NA,134,44
"CO","IAH",NA,"Sat",NA,NA,NA,50,10
"CO","IAH",NA,"Sun",NA,NA,NA,42,17
"DL","HOU",5,"Mon",-3.5,NA,0,2,1
"DL","HOU",5,"Tue",-2.33333333333333,NA,0,3,1
"DL","HOU",5,"Wed",-2.75,NA,0,4,1
"DL","HOU",5,"Thu",-3.5,NA,0,6,1
"DL","HOU",5,"Fri",-3.25,NA,0,4,1
"DL","HOU",5,"Sat",-1.5,NA,0,2,1
"DL","HOU",5,"Sun",-5,NA,0,5,1
"DL","HOU",6,"Mon",-0.1,12.5,0.1,10,1
"DL","HOU",6,"Tue",-0.333333333333333,13,0,9,1
"DL","HOU",6,"Wed",-1.375,4,0,8,1
"DL","HOU",6,"Thu",-1.42857142857143,2,0,7,1
"DL","HOU",6,"Fri",-0.333333333333333,8.5,0,9,1
"DL","HOU",6,"Sat",-2.2,4,0,10,1
"DL","HOU",6,"Sun",4.58333333333333,15.2,0.0833333333333333,12,1
